BFBFS,Belfast International Airport,Airport Rd,1,22
BHD,George Best Belfast City Airport,,1,21
BHX,Birmingham International Airport,,2,20
MAN,Manchester Airport,,3,19
DSA,Robin Hood Doncaster Sheffield Airport,First Ave,4,18
CWL,Cardiff International Airport,"Rhoose, Barrey",5,17
BRS,Bristol Airport,,6,16
LPL,Liverpool John Lennon Airport,Speke Hall Ave,7,15
LTN,London Luton Airport,Airport Way,8,14
BOH,Bournemouth Airport,"Parley Ln, Christchurch ",9,13
SOU,Southampton Airport,Southampton ,10,12
LGW,London Gatwick Airport,"Horley, Gatwick",8,11
LHR,London Heathrow Airport,Longford ,8,10
LBA,Leeds Bradford Airport,"Whitehouse Ln, Yeadon",11,9
NCL,Newcastle Airport,"Woolsington, Newcastle upon Tyne ",12,8
EMA,East Midlands Airport,"Castle Donington, Derby ",13,7
ABZ,Aberdeen Dyce Airport,"Dyce, Aberdeen ",14,6
GLA,Glasgow International Airport,Paisley ,15,5
EDI,Edinburgh Airport,Edinburgh ,16,4
NWI,Norwich International Airport,"Norwich Airport Ltd, Norwich ",17,3
STN,London Stansted Airport,"Bassingbourn Rd, Stansted ",8,2
EXT,Exeter International Airport,Exeter ,18,1
